Origem,Destino,Companhia Aérea,Tipo de Aeronave,Atraso (min),Tempo de Voo (min),Cancelado,Número de Passageiros,Combustível Estimado (litros)
Recife,Curitiba,Gol,Airbus A320,0,123,Não,234,3838.4
Salvador,Curitiba,Avianca,Airbus A320,163,51,Não,82,13115.3
Recife,Fortaleza,Avianca,Boeing 777,35,225,Não,110,2130.51
Fortaleza,São Paulo,Azul,Boeing 777,46,46,Não,206,6119.9
Recife,Fortaleza,Gol,Airbus A320,15,207,Não,172,8480.75
Recife,Rio de Janeiro,Avianca,Boeing 777,0,93,Não,170,7584.5
Belo Horizonte,Recife,LATAM,Boeing 737,0,189,Não,217,1266.68
Curitiba,Brasília,LATAM,Boeing 737,42,225,Não,132,10303.15
Salvador,Recife,LATAM,Airbus A320,0,161,Não,95,7897.25
Brasília,Rio de Janeiro,Gol,Airbus A320,159,96,Não,157,4211.79
Fortaleza,Brasília,LATAM,Airbus A330,0,111,Não,64,3223.31
Curitiba,Rio de Janeiro,LATAM,Embraer 195,0,81,Não,66,14003.73
Recife,São Paulo,Gol,Boeing 777,124,124,Não,119,5737.81
Curitiba,Salvador,Gol,Boeing 777,0,204,Não,53,6209.0
Fortaleza,Recife,Gol,Embraer 195,0,152,Não,195,12046.47
Salvador,Belo Horizonte,LATAM,Airbus A320,0,206,Não,91,14168.98
Belo Horizonte,Rio de Janeiro,Gol,Airbus A320,0,118,Não,86,3076.27
Rio de Janeiro,Recife,Avianca,Airbus A330,0,210,Não,217,14668.56
Brasília,Fortaleza,Avianca,Airbus A330,0,217,Não,88,6227.88
Salvador,São Paulo,Avianca,Boeing 777,0,147,Não,219,1691.04
São Paulo,Belo Horizonte,Azul,Boeing 777,0,90,Não,63,1154.77
São Paulo,Salvador,Avianca,Embraer 195,0,91,Não,134,6568.07
Rio de Janeiro,Recife,Azul,Airbus A320,0,115,Não,165,7560.58
Recife,Fortaleza,Gol,Boeing 777,0,91,Sim,82,2523.28
Fortaleza,São Paulo,Azul,Airbus A330,0,101,Não,131,3459.58
Belo Horizonte,Fortaleza,Avianca,Embraer 195,14,143,Não,61,10391.36
Salvador,Recife,LATAM,Airbus A330,45,101,Não,50,10185.96
Fortaleza,Rio de Janeiro,Azul,Airbus A320,0,226,Não,195,6381.87
Fortaleza,Rio de Janeiro,Azul,Airbus A320,0,228,Não,212,4727.28
São Paulo,Recife,LATAM,Airbus A330,0,237,Não,209,13940.96
Fortaleza,Curitiba,LATAM,Airbus A320,0,108,Não,98,7309.55
Salvador,Fortaleza,LATAM,Boeing 777,0,83,Não,81,12919.18
Brasília,Fortaleza,LATAM,Embraer 195,0,199,Não,59,12784.11
Salvador,Curitiba,Azul,Boeing 737,0,184,Não,243,14571.64
Fortaleza,Belo Horizonte,Avianca,Boeing 777,30,214,Não,65,13808.41
Salvador,Belo Horizonte,Azul,Boeing 777,48,173,Não,250,1450.02
Rio de Janeiro,Curitiba,Avianca,Embraer 195,120,133,Não,217,3298.28
Brasília,Rio de Janeiro,Gol,Embraer 195,100,154,Não,54,14218.82
Rio de Janeiro,São Paulo,Azul,Boeing 737,168,113,Não,169,13790.02
Salvador,São Paulo,LATAM,Boeing 777,0,139,Não,111,3792.52
Rio de Janeiro,Brasília,LATAM,Airbus A330,0,207,Não,144,1591.01
Curitiba,São Paulo,LATAM,Embraer 195,0,203,Não,221,2280.23
Recife,Fortaleza,Avianca,Airbus A320,0,62,Não,225,11242.04
Salvador,Curitiba,Gol,Boeing 777,177,146,Não,123,13226.35
Belo Horizonte,Brasília,Azul,Airbus A330,124,233,Não,98,8270.97
Brasília,Recife,Avianca,Boeing 777,0,74,Não,194,4258.97
Curitiba,Salvador,Azul,Airbus A320,0,58,Não,197,9651.15
Salvador,Fortaleza,Gol,Boeing 737,0,175,Não,196,5762.37
Belo Horizonte,Recife,Gol,Airbus A320,78,125,Não,113,8140.02
Recife,Rio de Janeiro,LATAM,Airbus A330,118,156,Não,172,6186.75
Rio de Janeiro,Brasília,Gol,Airbus A330,0,198,Não,141,10294.9
Rio de Janeiro,Brasília,Azul,Airbus A320,12,61,Não,156,13064.15
Brasília,Salvador,Avianca,Embraer 195,0,70,Não,161,14239.77
Rio de Janeiro,Brasília,Gol,Airbus A330,0,102,Não,220,6713.27
Salvador,São Paulo,LATAM,Embraer 195,0,138,Não,51,12944.39
Recife,Belo Horizonte,LATAM,Airbus A320,0,187,Não,120,10740.02
Fortaleza,Salvador,LATAM,Airbus A330,0,133,Não,130,13381.67
Brasília,Rio de Janeiro,Avianca,Embraer 195,0,107,Não,229,12968.73
São Paulo,Brasília,LATAM,Embraer 195,0,117,Não,200,10607.59
Curitiba,Fortaleza,LATAM,Boeing 777,93,190,Não,132,3844.05
Salvador,Rio de Janeiro,Azul,Boeing 777,0,99,Não,68,6665.98
Recife,Rio de Janeiro,LATAM,Boeing 737,0,110,Não,54,4436.88
Recife,Salvador,Azul,Boeing 777,62,58,Não,229,9755.49
Brasília,Recife,Avianca,Boeing 737,0,119,Não,245,3720.3
Fortaleza,Salvador,Avianca,Boeing 777,0,103,Não,225,6787.74
Curitiba,Fortaleza,LATAM,Airbus A330,0,102,Não,201,8693.55
Salvador,Fortaleza,Gol,Airbus A330,0,159,Não,117,14327.49
Rio de Janeiro,Recife,LATAM,Boeing 777,0,210,Não,230,14934.43
Salvador,Belo Horizonte,Avianca,Airbus A320,0,146,Não,72,8290.03
Recife,Fortaleza,Azul,Airbus A320,112,114,Sim,185,9724.13
Belo Horizonte,São Paulo,LATAM,Airbus A320,0,228,Não,131,11496.47
Curitiba,São Paulo,Avianca,Embraer 195,0,79,Não,124,7467.83
Belo Horizonte,Rio de Janeiro,LATAM,Embraer 195,94,126,Não,168,5073.38
Curitiba,Belo Horizonte,Avianca,Boeing 737,0,142,Não,54,10071.41
Belo Horizonte,Curitiba,Gol,Airbus A330,0,202,Não,164,7648.8
Belo Horizonte,Fortaleza,Gol,Airbus A320,0,223,Não,247,4260.06
Salvador,Rio de Janeiro,Gol,Embraer 195,0,167,Não,155,10519.14
Salvador,Brasília,Azul,Airbus A330,165,150,Não,237,11001.76
Rio de Janeiro,Curitiba,LATAM,Airbus A330,154,203,Não,204,9408.96
Curitiba,Brasília,Avianca,Embraer 195,0,112,Não,79,6077.69
Curitiba,Recife,LATAM,Embraer 195,0,171,Não,220,11823.96
Salvador,Brasília,Gol,Boeing 777,0,210,Não,76,10515.31
Belo Horizonte,Curitiba,LATAM,Embraer 195,0,75,Não,193,9385.09
São Paulo,Salvador,Gol,Airbus A320,104,195,Não,92,10694.66
São Paulo,Recife,LATAM,Embraer 195,0,184,Não,127,1446.78
Salvador,Brasília,Avianca,Embraer 195,0,227,Não,89,9455.41
Curitiba,São Paulo,LATAM,Airbus A330,0,97,Não,120,13252.87
Curitiba,Brasília,Avianca,Airbus A320,0,133,Não,229,3890.88
Salvador,Curitiba,Gol,Airbus A320,0,49,Não,155,1264.77
Brasília,Fortaleza,Gol,Airbus A330,0,205,Sim,242,4207.64
Rio de Janeiro,Recife,Avianca,Airbus A330,0,212,Não,179,3694.12
Curitiba,Belo Horizonte,Azul,Airbus A330,0,138,Não,117,9516.01
Belo Horizonte,Fortaleza,Avianca,Airbus A330,0,217,Não,122,13578.68
Salvador,Rio de Janeiro,LATAM,Airbus A330,0,46,Não,176,5331.77
São Paulo,Rio de Janeiro,Azul,Airbus A320,0,116,Não,246,3322.87
Fortaleza,Recife,Gol,Boeing 777,146,135,Não,57,4537.13
Belo Horizonte,Curitiba,Azul,Boeing 777,0,61,Não,99,8239.85
Recife,Belo Horizonte,Avianca,Airbus A330,89,216,Não,237,6839.11
Rio de Janeiro,Curitiba,Gol,Airbus A330,0,191,Não,60,12626.97
São Paulo,Recife,Azul,Embraer 195,0,164,Não,204,11650.07
Rio de Janeiro,Fortaleza,LATAM,Boeing 737,0,236,Não,209,2528.37
Curitiba,Belo Horizonte,LATAM,Embraer 195,0,185,Não,63,9491.37
São Paulo,Fortaleza,Azul,Boeing 737,77,147,Não,145,6446.28
Rio de Janeiro,Fortaleza,Gol,Boeing 737,0,132,Não,56,6323.13
Recife,Salvador,Gol,Airbus A320,0,186,Não,165,2622.78
Fortaleza,Rio de Janeiro,Gol,Boeing 777,0,190,Não,226,14201.04
Rio de Janeiro,Fortaleza,Azul,Airbus A320,0,70,Não,249,4316.73
Curitiba,Rio de Janeiro,LATAM,Boeing 737,0,226,Não,133,13834.59
Brasília,São Paulo,Avianca,Airbus A330,0,177,Não,137,3868.36
Curitiba,São Paulo,LATAM,Embraer 195,0,240,Não,145,13111.08
Curitiba,Salvador,LATAM,Boeing 737,162,66,Não,101,11399.77
São Paulo,Fortaleza,Avianca,Embraer 195,0,172,Não,209,11641.46
São Paulo,Brasília,Avianca,Boeing 737,0,118,Não,91,9900.66
Curitiba,Recife,LATAM,Embraer 195,0,176,Não,83,12227.84
Salvador,Fortaleza,LATAM,Boeing 777,0,74,Não,244,7061.41
Curitiba,Recife,Gol,Boeing 737,25,75,Não,168,14360.94
Belo Horizonte,Fortaleza,Avianca,Embraer 195,117,213,Não,149,2918.74
Salvador,Rio de Janeiro,LATAM,Airbus A320,0,231,Não,176,7620.91
Salvador,Rio de Janeiro,LATAM,Boeing 777,0,111,Não,88,2159.0
Fortaleza,Salvador,Gol,Boeing 777,0,132,Não,164,14223.86
Brasília,Fortaleza,Gol,Airbus A330,0,82,Não,229,1148.59
Fortaleza,Rio de Janeiro,Avianca,Embraer 195,0,129,Não,186,3743.24
Curitiba,São Paulo,Azul,Boeing 777,0,204,Não,125,2136.95
Fortaleza,Belo Horizonte,Gol,Boeing 737,0,227,Não,233,1114.7
Fortaleza,São Paulo,Azul,Airbus A320,0,136,Não,116,5743.66
Curitiba,Belo Horizonte,Azul,Airbus A330,43,195,Sim,121,2501.86
São Paulo,Recife,Azul,Boeing 777,0,103,Não,213,14855.24
Brasília,Curitiba,LATAM,Embraer 195,0,238,Não,194,7391.57
Salvador,Curitiba,Avianca,Airbus A320,0,217,Não,119,14819.25
Recife,Belo Horizonte,Gol,Boeing 737,157,89,Não,141,9124.48
Fortaleza,São Paulo,Azul,Airbus A330,0,45,Não,133,6586.12
Belo Horizonte,Salvador,Azul,Airbus A320,124,134,Não,194,13751.64
Curitiba,Fortaleza,LATAM,Boeing 737,121,194,Não,213,14229.69
Belo Horizonte,Rio de Janeiro,Avianca,Airbus A320,151,219,Não,152,13351.67
Recife,Fortaleza,Azul,Boeing 737,27,67,Não,241,8468.26
Belo Horizonte,Fortaleza,Gol,Airbus A330,0,212,Não,126,6125.19
Salvador,Belo Horizonte,Gol,Boeing 737,0,190,Não,184,8551.16
São Paulo,Recife,Azul,Boeing 777,155,169,Não,174,9780.47
Curitiba,Fortaleza,LATAM,Boeing 737,0,45,Não,147,13027.19
Fortaleza,Rio de Janeiro,Gol,Embraer 195,0,221,Não,232,3940.24
Rio de Janeiro,Brasília,Gol,Embraer 195,0,80,Sim,238,8665.72
São Paulo,Belo Horizonte,Azul,Airbus A330,0,177,Não,95,8711.98
Fortaleza,Salvador,Azul,Boeing 737,16,66,Não,148,9254.67
Belo Horizonte,Recife,Avianca,Embraer 195,0,75,Não,205,2982.24
Belo Horizonte,Recife,LATAM,Embraer 195,0,114,Não,230,9251.47
Belo Horizonte,São Paulo,Avianca,Boeing 777,78,115,Não,66,9417.69
Fortaleza,Belo Horizonte,LATAM,Embraer 195,0,95,Não,133,10371.57
Curitiba,Belo Horizonte,Avianca,Embraer 195,122,167,Não,81,10712.31
Brasília,Rio de Janeiro,Avianca,Airbus A330,0,88,Não,238,2165.36
Fortaleza,Curitiba,LATAM,Embraer 195,0,139,Não,208,1448.59
São Paulo,Recife,Avianca,Airbus A320,167,100,Sim,59,1234.4
Salvador,Rio de Janeiro,Azul,Embraer 195,84,105,Não,191,10335.85
Recife,Curitiba,Gol,Airbus A330,127,81,Não,110,6035.53
Brasília,Fortaleza,LATAM,Airbus A320,20,49,Não,218,13630.62
Rio de Janeiro,São Paulo,LATAM,Embraer 195,0,55,Não,166,9859.26
Curitiba,Recife,Avianca,Embraer 195,0,127,Não,92,11991.8
Belo Horizonte,Recife,Avianca,Embraer 195,0,104,Não,117,8018.12
Curitiba,Brasília,Avianca,Airbus A330,0,235,Não,130,1382.94
Brasília,Curitiba,Azul,Boeing 777,35,206,Não,248,14299.61
Fortaleza,Rio de Janeiro,LATAM,Boeing 737,27,46,Não,196,3245.49
Fortaleza,Brasília,Gol,Boeing 737,31,237,Não,185,3695.02
Rio de Janeiro,Salvador,LATAM,Airbus A330,0,101,Sim,246,14981.72
Recife,Fortaleza,LATAM,Airbus A320,0,168,Não,57,12599.88
Salvador,Curitiba,Azul,Airbus A320,0,228,Não,225,1679.04
Curitiba,Brasília,LATAM,Embraer 195,0,57,Não,94,5394.14
Fortaleza,São Paulo,Gol,Airbus A320,0,216,Não,230,6335.38
Fortaleza,Salvador,Azul,Airbus A330,0,225,Não,135,13983.32
Curitiba,São Paulo,LATAM,Airbus A320,0,119,Não,178,5835.4
Salvador,Rio de Janeiro,Azul,Airbus A320,128,205,Não,105,9314.43
Salvador,Curitiba,Avianca,Boeing 737,0,71,Não,157,10671.69
Rio de Janeiro,Brasília,Gol,Boeing 737,165,226,Não,78,7971.55
Brasília,Recife,Azul,Airbus A330,179,153,Não,159,7008.06
Salvador,Fortaleza,LATAM,Boeing 737,0,240,Não,225,4186.84
São Paulo,Rio de Janeiro,Avianca,Boeing 737,0,188,Não,161,7462.3
São Paulo,Recife,Azul,Boeing 777,0,92,Não,166,7594.06
Fortaleza,Brasília,Gol,Airbus A320,135,128,Não,54,14323.92
Rio de Janeiro,Brasília,Avianca,Airbus A330,5,73,Não,87,14220.32
Curitiba,Belo Horizonte,Azul,Airbus A320,0,73,Não,103,13414.79
Fortaleza,Brasília,Gol,Embraer 195,0,183,Não,104,8696.74
Curitiba,São Paulo,Azul,Embraer 195,0,240,Não,69,9174.55
Recife,Belo Horizonte,Azul,Boeing 777,0,175,Não,242,8155.91
Curitiba,Salvador,Gol,Airbus A320,0,117,Sim,245,1190.52
Brasília,Belo Horizonte,LATAM,Boeing 777,0,187,Não,119,6471.7
Rio de Janeiro,São Paulo,Gol,Boeing 737,145,205,Não,75,7601.35
Belo Horizonte,Recife,Azul,Embraer 195,0,201,Não,89,13175.27
Brasília,Rio de Janeiro,Gol,Boeing 777,25,196,Não,196,6865.98
Fortaleza,Rio de Janeiro,Gol,Boeing 777,0,101,Não,232,11014.34
Belo Horizonte,Salvador,Azul,Embraer 195,0,158,Não,218,9389.73
Curitiba,Rio de Janeiro,Avianca,Boeing 737,50,187,Não,175,3273.06
Recife,Belo Horizonte,Azul,Airbus A330,0,141,Não,216,12729.62
Curitiba,Rio de Janeiro,Azul,Boeing 777,10,58,Não,183,11389.85
Curitiba,Belo Horizonte,Avianca,Airbus A330,0,169,Não,226,7706.26
Brasília,Salvador,Avianca,Boeing 777,90,214,Não,201,8555.5
Salvador,Fortaleza,Azul,Airbus A330,0,217,Não,66,9359.09
Fortaleza,Curitiba,Gol,Boeing 777,0,101,Não,145,3532.72
Recife,Brasília,Gol,Boeing 737,0,187,Não,112,12440.44
Salvador,Curitiba,Azul,Embraer 195,0,57,Não,154,13146.44
Brasília,São Paulo,Azul,Boeing 737,0,48,Sim,197,3549.72
Belo Horizonte,São Paulo,LATAM,Boeing 777,0,173,Não,163,2176.92
Salvador,Recife,Gol,Boeing 737,42,179,Não,133,9651.29
Fortaleza,Rio de Janeiro,Avianca,Boeing 777,170,140,Não,77,12261.66
Salvador,Belo Horizonte,Azul,Airbus A330,0,199,Não,173,7650.77
Belo Horizonte,Fortaleza,Gol,Airbus A320,0,118,Sim,150,9607.74
Rio de Janeiro,São Paulo,Gol,Embraer 195,0,74,Não,189,1287.54
Salvador,Fortaleza,Avianca,Airbus A330,0,239,Não,66,5016.33
Recife,São Paulo,Avianca,Airbus A320,0,72,Não,91,5090.25
Curitiba,Salvador,Gol,Airbus A330,0,179,Não,113,8571.65
Belo Horizonte,Salvador,LATAM,Boeing 737,164,194,Não,141,1922.13
Curitiba,Belo Horizonte,LATAM,Boeing 737,0,106,Não,232,2881.25
Curitiba,Recife,Avianca,Airbus A320,0,90,Não,65,10323.66
Rio de Janeiro,Belo Horizonte,Azul,Airbus A330,0,130,Não,148,4080.92
Curitiba,Belo Horizonte,Avianca,Boeing 737,0,152,Não,111,8766.44
Fortaleza,São Paulo,Avianca,Airbus A330,10,92,Não,243,14988.79
São Paulo,Belo Horizonte,LATAM,Airbus A320,0,173,Não,87,9928.1
Curitiba,Fortaleza,Gol,Airbus A320,0,86,Não,153,12298.84
Belo Horizonte,São Paulo,Avianca,Embraer 195,40,203,Sim,206,11929.51
Recife,Rio de Janeiro,Gol,Airbus A330,0,177,Não,151,14914.24
Recife,Fortaleza,LATAM,Boeing 777,0,173,Não,68,2619.11
Fortaleza,Salvador,Avianca,Boeing 737,0,54,Não,80,2831.54
Fortaleza,São Paulo,Gol,Embraer 195,0,203,Não,105,3798.75
Recife,Salvador,Gol,Airbus A330,0,75,Não,144,1766.68
Rio de Janeiro,Recife,Azul,Airbus A320,0,146,Não,171,3007.4
Curitiba,Salvador,Avianca,Boeing 737,0,134,Não,137,6557.07
Rio de Janeiro,Recife,Gol,Embraer 195,113,138,Não,137,7753.03
Curitiba,Salvador,Gol,Boeing 777,0,80,Não,174,3129.31
Fortaleza,Curitiba,Avianca,Airbus A330,0,62,Não,64,4744.51
Fortaleza,São Paulo,Azul,Boeing 737,0,162,Sim,149,11572.36
Recife,Fortaleza,Azul,Embraer 195,0,78,Não,121,10097.71
Curitiba,Fortaleza,Azul,Airbus A320,0,83,Não,95,13696.44
Curitiba,Recife,Gol,Airbus A320,0,220,Não,122,5560.4
Brasília,Fortaleza,LATAM,Airbus A320,176,126,Não,132,5061.65
Rio de Janeiro,Salvador,Gol,Airbus A330,10,53,Não,186,1251.3
Fortaleza,Curitiba,Gol,Boeing 777,0,238,Não,105,4570.07
São Paulo,Brasília,LATAM,Boeing 777,0,192,Não,106,2142.14
Curitiba,Rio de Janeiro,Avianca,Embraer 195,0,132,Não,180,1623.42
Curitiba,Fortaleza,Avianca,Boeing 777,0,220,Não,53,8782.32
Recife,Belo Horizonte,Avianca,Embraer 195,0,98,Não,214,3549.89
Rio de Janeiro,Brasília,Gol,Airbus A320,0,80,Não,234,8934.01
Brasília,Belo Horizonte,Gol,Embraer 195,0,176,Não,161,8262.12
Salvador,Brasília,Azul,Airbus A330,175,80,Não,228,7046.65
Rio de Janeiro,Recife,LATAM,Embraer 195,17,57,Não,59,12602.63
Brasília,São Paulo,Gol,Boeing 737,0,67,Não,59,11895.48
São Paulo,Belo Horizonte,Avianca,Airbus A320,0,184,Não,120,6240.5
Curitiba,Rio de Janeiro,LATAM,Airbus A320,45,131,Não,234,6832.83
Rio de Janeiro,Recife,Gol,Airbus A320,0,183,Não,241,12368.44
São Paulo,Salvador,Gol,Boeing 737,0,98,Não,116,10586.64
Recife,Curitiba,Gol,Airbus A330,0,191,Não,119,5084.93
São Paulo,Belo Horizonte,Avianca,Airbus A320,0,141,Sim,199,14418.03
Brasília,Recife,Gol,Boeing 777,0,129,Não,78,6992.85
São Paulo,Rio de Janeiro,LATAM,Airbus A330,0,118,Não,88,12240.54
Brasília,Fortaleza,LATAM,Airbus A330,0,148,Sim,85,1594.57
Fortaleza,Belo Horizonte,LATAM,Boeing 737,0,195,Não,219,2063.6
Curitiba,Belo Horizonte,Gol,Airbus A330,76,150,Não,73,13621.33
Recife,São Paulo,Gol,Embraer 195,131,208,Não,126,3473.34
Recife,Fortaleza,Avianca,Airbus A330,0,127,Não,187,9168.69
Curitiba,Rio de Janeiro,Gol,Boeing 737,0,162,Não,207,3740.5
Fortaleza,Rio de Janeiro,Avianca,Embraer 195,0,134,Não,93,1422.23
Rio de Janeiro,Recife,LATAM,Boeing 777,0,177,Não,203,12869.83
Recife,Belo Horizonte,Gol,Boeing 777,0,126,Não,89,1613.75
Recife,Curitiba,LATAM,Boeing 737,0,162,Não,154,9136.63
Belo Horizonte,Salvador,Azul,Airbus A320,0,219,Não,147,13500.66
Salvador,Belo Horizonte,Avianca,Embraer 195,161,128,Não,145,1607.21
Belo Horizonte,Fortaleza,Gol,Airbus A320,159,109,Não,60,12474.24
Brasília,Rio de Janeiro,Azul,Airbus A330,167,129,Não,89,4531.12
Rio de Janeiro,São Paulo,Gol,Boeing 777,0,122,Não,103,3125.94
Fortaleza,Recife,Azul,Airbus A330,0,226,Não,171,5092.22
São Paulo,Brasília,Gol,Airbus A330,152,106,Não,123,7668.49
Rio de Janeiro,Salvador,Azul,Airbus A330,0,182,Não,109,9932.36
Salvador,São Paulo,Azul,Embraer 195,99,197,Não,113,8792.17
Recife,Rio de Janeiro,LATAM,Boeing 737,0,199,Não,238,14865.54
Recife,Belo Horizonte,Gol,Boeing 777,0,236,Não,248,1882.27
Recife,Salvador,LATAM,Boeing 777,0,116,Não,123,6403.99
Rio de Janeiro,Belo Horizonte,Gol,Boeing 737,0,144,Não,177,9317.59
Rio de Janeiro,Recife,Azul,Airbus A320,0,93,Não,178,4050.43
Brasília,Rio de Janeiro,Azul,Embraer 195,27,203,Não,148,4270.77
Salvador,Belo Horizonte,Azul,Embraer 195,0,102,Não,215,8076.07
Rio de Janeiro,Fortaleza,Azul,Embraer 195,180,107,Não,133,8635.06
Rio de Janeiro,Brasília,Azul,Boeing 777,0,204,Não,93,12863.16
São Paulo,Salvador,Avianca,Boeing 777,18,67,Não,130,5100.85
Fortaleza,Curitiba,LATAM,Boeing 777,0,213,Não,192,5603.06
Brasília,Salvador,Avianca,Airbus A330,126,207,Não,96,10169.99
Rio de Janeiro,São Paulo,LATAM,Airbus A330,150,118,Não,63,9861.51
Rio de Janeiro,Fortaleza,Gol,Boeing 737,0,110,Não,153,2149.58
Curitiba,Fortaleza,LATAM,Embraer 195,0,69,Sim,204,4356.77
Brasília,Rio de Janeiro,Gol,Embraer 195,0,175,Não,107,9629.41
Belo Horizonte,São Paulo,Avianca,Boeing 737,107,72,Não,72,5033.69
São Paulo,Curitiba,Azul,Airbus A330,0,211,Não,56,1380.22
Fortaleza,São Paulo,Azul,Embraer 195,0,88,Não,181,2836.74
Rio de Janeiro,Recife,LATAM,Embraer 195,0,152,Não,205,7381.73
Brasília,Salvador,Avianca,Airbus A320,0,150,Não,165,7691.46
Rio de Janeiro,Curitiba,Azul,Embraer 195,0,119,Não,185,6872.22
São Paulo,Rio de Janeiro,Gol,Airbus A330,25,154,Não,117,4083.89
Rio de Janeiro,São Paulo,Avianca,Airbus A320,0,112,Não,90,11661.73
Recife,Fortaleza,Azul,Boeing 737,0,94,Não,221,5751.76
São Paulo,Rio de Janeiro,Gol,Airbus A330,0,147,Não,212,3800.96
Salvador,Belo Horizonte,LATAM,Embraer 195,0,180,Não,189,13863.6
Rio de Janeiro,Salvador,Gol,Embraer 195,107,162,Não,242,6415.08
Belo Horizonte,Fortaleza,Azul,Embraer 195,130,65,Não,80,7171.77
Curitiba,São Paulo,LATAM,Airbus A330,54,233,Não,96,11738.69
Curitiba,Brasília,LATAM,Airbus A330,77,210,Não,53,4068.7
Curitiba,São Paulo,Azul,Boeing 737,17,71,Não,142,8658.26
Recife,São Paulo,Azul,Airbus A320,0,187,Não,165,11867.04
Rio de Janeiro,Brasília,Azul,Boeing 737,19,141,Não,187,11569.52
Fortaleza,Curitiba,LATAM,Embraer 195,0,82,Não,223,2532.33
Fortaleza,Recife,Avianca,Airbus A320,0,200,Não,187,1688.82
Recife,São Paulo,Avianca,Airbus A330,0,111,Não,140,7377.33
Salvador,Belo Horizonte,Azul,Boeing 777,0,101,Não,242,11100.33
São Paulo,Fortaleza,Azul,Airbus A320,175,155,Não,83,9507.85
Fortaleza,São Paulo,Azul,Boeing 737,0,192,Não,212,3543.68
Salvador,Rio de Janeiro,LATAM,Airbus A320,0,194,Não,126,3496.41
Belo Horizonte,Recife,LATAM,Boeing 737,7,140,Não,79,13196.17
Recife,Curitiba,Azul,Embraer 195,0,239,Não,90,10946.98
Recife,Salvador,Avianca,Boeing 737,0,196,Não,91,8107.95
Curitiba,Rio de Janeiro,Avianca,Boeing 737,0,58,Não,129,2058.22
Salvador,Belo Horizonte,Avianca,Boeing 737,0,127,Não,179,5944.22
Salvador,Curitiba,Gol,Airbus A320,0,200,Não,54,7087.84
Brasília,Fortaleza,Avianca,Embraer 195,0,127,Não,50,8853.54
São Paulo,Recife,Avianca,Boeing 777,0,104,Não,99,1958.22
Salvador,São Paulo,Gol,Boeing 737,47,114,Não,213,7354.86
Rio de Janeiro,Brasília,Avianca,Boeing 777,0,151,Não,249,6506.81
Fortaleza,Belo Horizonte,Azul,Airbus A330,0,108,Sim,173,3825.8
Curitiba,Brasília,Azul,Airbus A330,0,124,Não,177,3753.77
Rio de Janeiro,Recife,Gol,Embraer 195,0,217,Não,198,5410.0
Rio de Janeiro,Fortaleza,Avianca,Airbus A330,132,153,Não,101,7479.7
Salvador,Rio de Janeiro,Avianca,Airbus A330,49,145,Não,141,13975.38
Fortaleza,São Paulo,LATAM,Boeing 777,0,207,Não,124,11109.9
São Paulo,Belo Horizonte,Avianca,Embraer 195,0,84,Não,131,14284.83
Rio de Janeiro,Curitiba,Azul,Airbus A330,0,53,Não,163,4744.03
Brasília,Rio de Janeiro,LATAM,Boeing 737,0,222,Não,205,10816.9
Curitiba,Rio de Janeiro,Azul,Boeing 737,0,177,Não,171,6322.56
São Paulo,Rio de Janeiro,Azul,Boeing 737,0,93,Não,189,5190.14
Fortaleza,Salvador,Avianca,Embraer 195,178,54,Não,145,12915.62
Recife,Fortaleza,LATAM,Airbus A330,0,222,Não,224,1249.05
Rio de Janeiro,São Paulo,LATAM,Airbus A330,0,58,Não,227,3647.59
Brasília,Rio de Janeiro,Gol,Airbus A330,0,113,Não,98,4300.93
Curitiba,Belo Horizonte,Gol,Airbus A320,0,158,Não,186,11951.45
Recife,Rio de Janeiro,Gol,Embraer 195,0,78,Não,190,9634.85
Salvador,Belo Horizonte,Azul,Boeing 777,113,168,Não,187,10369.0
Salvador,Curitiba,Avianca,Embraer 195,0,83,Não,199,2417.72
Brasília,Salvador,LATAM,Airbus A320,0,92,Não,179,6327.46
Brasília,Belo Horizonte,Avianca,Embraer 195,0,237,Não,212,9551.11
São Paulo,Rio de Janeiro,LATAM,Boeing 777,112,130,Não,158,9637.99
Salvador,São Paulo,Avianca,Embraer 195,0,238,Não,105,12392.06
Curitiba,São Paulo,Avianca,Boeing 777,0,98,Não,98,3648.6
Fortaleza,Recife,LATAM,Boeing 737,165,128,Não,56,9537.88
Salvador,Brasília,Gol,Boeing 737,0,84,Não,151,5712.11
Belo Horizonte,Rio de Janeiro,Avianca,Embraer 195,0,99,Não,243,13004.1
Fortaleza,São Paulo,LATAM,Airbus A330,0,226,Não,51,6429.37
São Paulo,Belo Horizonte,LATAM,Embraer 195,0,93,Não,132,11038.0
Belo Horizonte,São Paulo,Azul,Airbus A330,0,45,Não,104,10926.19
Recife,Rio de Janeiro,Avianca,Boeing 777,0,221,Não,219,2275.93
Rio de Janeiro,Brasília,Avianca,Airbus A320,0,189,Não,249,11734.58
Fortaleza,Brasília,Avianca,Embraer 195,0,142,Não,83,9789.89
Salvador,Recife,Gol,Boeing 777,146,147,Não,204,9510.66
Recife,Belo Horizonte,Gol,Airbus A330,0,148,Não,199,11268.82
São Paulo,Curitiba,LATAM,Boeing 777,89,203,Não,137,4238.17
Fortaleza,Rio de Janeiro,Gol,Airbus A330,0,45,Não,223,6589.08
Belo Horizonte,Recife,Gol,Boeing 737,0,155,Não,77,12723.09
Recife,Brasília,Azul,Boeing 737,49,55,Não,227,7285.17
